Nodes,Scenario,Time,Probability
1,1,,0.05
2,1,,0.05
3,1,,0.05
4,1,,0.05
5,1,,0.05
6,1,3.1462758382161464,0.05
7,1,,0.05
8,1,,0.05
9,1,,0.05
10,1,,0.05
11,1,1.3035151163736978,0.05
12,1,,0.05
13,1,,0.05
14,1,,0.05
15,1,,0.05
16,1,,0.05
17,1,,0.05
18,1,,0.05
19,1,,0.05
20,1,,0.05
21,1,,0.05
22,1,,0.05
23,1,,0.05
24,1,,0.05
25,1,10.856610107421876,0.05
26,1,,0.05
1,2,,0.05
2,2,,0.05
3,2,,0.05
4,2,,0.05
5,2,,0.05
6,2,1.0275822957356766,0.05
7,2,,0.05
8,2,,0.05
9,2,,0.05
10,2,,0.05
11,2,8.219706217447916,0.05
12,2,,0.05
13,2,,0.05
14,2,,0.05
15,2,,0.05
16,2,,0.05
17,2,,0.05
18,2,,0.05
19,2,,0.05
20,2,,0.05
21,2,,0.05
22,2,,0.05
23,2,,0.05
24,2,,0.05
25,2,1.4671274820963531,0.05
26,2,,0.05
1,3,,0.05
2,3,17.233502197265633,0.05
3,3,,0.05
4,3,,0.05
5,3,,0.05
6,3,,0.05
7,3,,0.05
8,3,,0.05
9,3,,0.05
10,3,6.5980224609375,0.05
11,3,,0.05
12,3,,0.05
13,3,,0.05
14,3,,0.05
15,3,,0.05
16,3,,0.05
17,3,,0.05
18,3,,0.05
19,3,,0.05
20,3,,0.05
21,3,,0.05
22,3,,0.05
23,3,,0.05
24,3,,0.05
25,3,,0.05
26,3,,0.05
1,4,,0.05
2,4,,0.05
3,4,,0.05
4,4,,0.05
5,4,,0.05
6,4,4.02859141031901,0.05
7,4,,0.05
8,4,,0.05
9,4,,0.05
10,4,,0.05
11,4,17.535685221354168,0.05
12,4,,0.05
13,4,,0.05
14,4,,0.05
15,4,,0.05
16,4,,0.05
17,4,,0.05
18,4,,0.05
19,4,,0.05
20,4,,0.05
21,4,,0.05
22,4,,0.05
23,4,,0.05
24,4,,0.05
25,4,0.5,0.05
26,4,,0.05
1,5,,0.05
2,5,,0.05
3,5,20.938203938802083,0.05
4,5,,0.05
5,5,,0.05
6,5,,0.05
7,5,,0.05
8,5,,0.05
9,5,,0.05
10,5,2.015758768717448,0.05
11,5,,0.05
12,5,,0.05
13,5,,0.05
14,5,,0.05
15,5,,0.05
16,5,,0.05
17,5,,0.05
18,5,,0.05
19,5,,0.05
20,5,,0.05
21,5,,0.05
22,5,,0.05
23,5,,0.05
24,5,,0.05
25,5,,0.05
26,5,,0.05
1,6,,0.05
2,6,0.575373077392578,0.05
3,6,,0.05
4,6,,0.05
5,6,,0.05
6,6,,0.05
7,6,,0.05
8,6,,0.05
9,6,,0.05
10,6,,0.05
11,6,,0.05
12,6,,0.05
13,6,,0.05
14,6,,0.05
