Edges,From,To,Scenario,Time,Probability
1,1,2,1,,0.05
2,2,3,1,,0.05
3,3,4,1,,0.05
4,4,5,1,,0.05
5,5,6,1,1.6988087969999999,0.05
6,6,7,1,14.48019816,0.05
7,7,8,1,,0.05
8,8,1,1,,0.05
9,4,9,1,,0.05
10,5,9,1,,0.05
11,2,10,1,,0.05
12,3,10,1,,0.05
13,10,11,1,7.203094481999999,0.05
14,5,11,1,11.64836833,0.05
15,6,11,1,0.5,0.05
16,4,12,1,,0.05
17,12,13,1,,0.05
18,13,14,1,,0.05
19,14,15,1,,0.05
20,9,16,1,,0.05
21,16,17,1,,0.05
22,7,18,1,,0.05
23,18,19,1,,0.05
24,19,20,1,,0.05
25,8,21,1,,0.05
26,21,22,1,,0.05
27,22,23,1,,0.05
28,23,24,1,,0.05
29,6,25,1,5.533482869,0.05
30,7,25,1,18.48919474,0.05
31,11,25,1,0.5,0.05
32,17,26,1,,0.05
1,1,2,2,,0.05
2,2,3,2,,0.05
3,3,4,2,,0.05
4,4,5,2,,0.05
5,5,6,2,12.51444906,0.05
6,6,7,2,4.066156514,0.05
7,7,8,2,,0.05
8,8,1,2,,0.05
9,4,9,2,,0.05
10,5,9,2,,0.05
11,2,10,2,,0.05
12,3,10,2,,0.05
13,10,11,2,15.381365970000001,0.05
14,5,11,2,20.12655843,0.05
15,6,11,2,3.4831985469999998,0.05
16,4,12,2,,0.05
17,12,13,2,,0.05
18,13,14,2,,0.05
19,14,15,2,,0.05
20,9,16,2,,0.05
21,16,17,2,,0.05
22,7,18,2,,0.05
23,18,19,2,,0.05
24,19,20,2,,0.05
25,8,21,2,,0.05
26,21,22,2,,0.05
27,22,23,2,,0.05
28,23,24,2,,0.05
29,6,25,2,1.0275822959999998,0.05
30,7,25,2,2.65814209,0.05
31,11,25,2,0.5,0.05
32,17,26,2,,0.05
1,1,2,3,20.37798869,0.05
2,2,3,3,13.87963562,0.05
3,3,4,3,,0.05
4,4,5,3,,0.05
5,5,6,3,,0.05
6,6,7,3,,0.05
7,7,8,3,,0.05
8,8,1,3,,0.05
9,4,9,3,,0.05
10,5,9,3,,0.05
11,2,10,3,8.546318563,0.05
12,3,10,3,11.47803345,0.05
13,10,11,3,9.6500234,0.05
14,5,11,3,,0.05
15,6,11,3,,0.05
16,4,12,3,,0.05
17,12,13,3,,0.05
18,13,14,3,,0.05
19,14,15,3,,0.05
20,9,16,3,,0.05
21,16,17,3,,0.05
22,7,18,3,,0.05
23,18,19,3,,0.05
24,19,20,3,,0.05
25,8,21,3,,0.05
26,21,22,3,,0.05
27,22,23,3,,0.05
28,23,24,3,,0.05
29,6,25,3,,0.05
30,7,25,3,,0.05
31,11,25,3,,0.05
32,17,26,3,,0.05
1,1,2,4,,0.05
2,2,3,4,,0.05
3,3,4,4,,0.05
4,4,5,4,,0.05
5,5,6,4,,0.05
6,6,7,4,6.867829386,0.05
7,7,8,4,,0.05
8,8,1,4,,0.05
9,4,9,4,,0.05
10,5,9,4,,0.05
11,2,10,4,,0.05
12,3,10,4,,0.05
13,10,11,4,,0.05
14,5,11,4,,0.05
15,6,11,4,9.95797221,0.05
16,4,12,4,,0.05
17,12,13,4,,0.05
18,13,14,4,,0.05
19,14,15,4,,0.05
20,9,16,4,,0.05
21,16,17,4,,0.05
22,7,18,4,,0.05
23,18,19,4,,0.05
24,19,20,4,,0.05
25,8,21,4,,0.05
26,21,22,4,,0.05
27,22,23,4,,0.05
28,23,24,4,,0.05
29,6,25,4,0.5,0.05
30,7,25,4,0.5,0.05
31,11,25,4,0.5,0.05
32,17,26,4,,0.05
1,1,2,5,,0.05
2,2,3,5,10.2185201,0.05
3,3,4,5,,0.05
4,4,5,5,,0.05
5,5,6,5,,0.05
6,6,7,5,,0.05
7,7,8,5,,0.05
8,8,1,5,,0.05
9,4,9,5,,0.05
10,5,9,5,,0.05
11,2,10,5,3.381494141,0.05
12,3,10,5,5.881894938,0.05
13,10,11,5,4.215103658,0.05
14,5,11,5,,0.05
15,6,11,5,,0.05
16,4,12,5,,0.05
17,12,13,5,,0.05
18,13,14,5,,0.05
19,14,15,5,,0.05
20,9,16,5,,0.05
21,16,17,5,,0.05
22,7,18,5,,0.05
23,18,19,5,,0.05
24,19,20,5,,0.05
25,8,21,5,,0.05
26,21,22,5,,0.05
27,22,23,5,,0.05
28,23,24,5,,0.05
29,6,25,5,,0.05
30,7,25,5,,0.05
31,11,25,5,,0.05
32,17,26,5,,0.05
1,1,2,6,0.808730825,0.05
2,2,3,6,13.79639791,0.05
3,3,4,6,,0.05
4,4,5,6,,0.05
5,5,6,6,,0.05
6,6,7,6,,0.05
7,7,8,6,,0.05
8,8,1,6,,0.05
9,4,9,6,,0.05
10,5,9,6,,0.05
11,2,10,6,10.56161194,0.05
12,3,10,6,,0.05
13,10,11,6,,0.05
14,5,11,6,,0.05
15,6,11,6,,0.05
16,4,12,6,,0.05
17,12,13,6,,0.05
18,13,14,6,,0.05
19,14,15,6,,0.05
20,9,16,6,,0.05
21,16,17,6,,0.05
22,7,18,6,,0.05
23,18,19,6,,0.05
24,19,20,6,,0.05
25,8,21,6,,0.05
26,21,22,6,,0.05
27,22,23,6,,0.05
28,23,24,6,,0.05
29,6,25,6,,0.05
30,7,25,6,,0.05
31,11,25,6,,0.05
32,17,26,6,,0.05
1,1,2,7,7.362988281,0.05
2,2,3,7,12.01478373,0.05
3,3,4,7,,0.05
4,4,5,7,,0.05
5,5,6,7,,0.05
6,6,7,7,,0.05
7,7,8,7,,0.05
8,8,1,7,,0.05
9,4,9,7,,0.05
10,5,9,7,,0.05
11,2,10,7,9.03155416,0.05
12,3,10,7,,0.05
13,10,11,7,,0.05
14,5,11,7,,0.05
15,6,11,7,,0.05
16,4,12,7,,0.05
17,12,13,7,,0.05
18,13,14,7,,0.05
19,14,15,7,,0.05
20,9,16,7,,0.05
21,16,17,7,,0.05
22,7,18,7,,0.05
23,18,19,7,,0.05
24,19,20,7,,0.05
25,8,21,7,,0.05
26,21,22,7,,0.05
27,22,23,7,,0.05
28,23,24,7,,0.05
29,6,25,7,,0.05
30,7,25,7,,0.05
31,11,25,7,,0.05
32,17,26,7,,0.05
1,1,2,8,,0.05
2,2,3,8,,0.05
3,3,4,8,,0.05
4,4,5,8,,0.05
5,5,6,8,,0.05
6,6,7,8,20.66908569,0.05
7,7,8,8,5.076166789,0.05
8,8,1,8,,0.05
9,4,9,8,,0.05
10,5,9,8,,0.05
11,2,10,8,,0.05
12,3,10,8,,0.05
13,10,11,8,,0.05
14,5,11,8,,0.05
15,6,11,8,,0.05
16,4,12,8,,0.05
17,12,13,8,,0.05
18,13,14,8,,0.05
19,14,15,8,,0.05
20,9,16,8,,0.05
21,16,17,8,,0.05
22,7,18,8,20.2815918,0.05
23,18,19,8,,0.05
24,19,20,8,,0.05
25,8,21,8,,0.05
26,21,22,8,,0.05
27,22,23,8,,0.05
28,23,24,8,,0.05
29,6,25,8,13.22608236,0.05
30,7,25,8,3.0115249630000003,0.05
31,11,25,8,13.07747091,0.05
32,17,26,8,,0.05
1,1,2,9,,0.05
2,2,3,9,,0.05
3,3,4,9,,0.05
4,4,5,9,,0.05
5,5,6,9,,0.05
6,6,7,9,,0.05
7,7,8,9,2.177982076,0.05
8,8,1,9,5.532698059,0.05
9,4,9,9,,0.05
10,5,9,9,,0.05
11,2,10,9,,0.05
12,3,10,9,,0.05
13,10,11,9,,0.05
14,5,11,9,,0.05
15,6,11,9,,0.05
16,4,12,9,,0.05
17,12,13,9,,0.05
18,13,14,9,,0.05
19,14,15,9,,0.05
20,9,16,9,,0.05
21,16,17,9,,0.05
22,7,18,9,,0.05
23,18,19,9,,0.05
24,19,20,9,,0.05
25,8,21,9,11.19992676,0.05
26,21,22,9,,0.05
27,22,23,9,,0.05
28,23,24,9,,0.05
29,6,25,9,,0.05
30,7,25,9,16.87202555,0.05
31,11,25,9,,0.05
32,17,26,9,,0.05
1,1,2,10,,0.05
2,2,3,10,,0.05
3,3,4,10,,0.05
4,4,5,10,,0.05
5,5,6,10,,0.05
6,6,7,10,,0.05
7,7,8,10,10.96569519,0.05
8,8,1,10,8.411534627,0.05
9,4,9,10,,0.05
10,5,9,10,,0.05
11,2,10,10,,0.05
12,3,10,10,,0.05
13,10,11,10,,0.05
14,5,11,10,,0.05
15,6,11,10,,0.05
16,4,12,10,,0.05
17,12,13,10,,0.05
18,13,14,10,,0.05
19,14,15,10,,0.05
20,9,16,10,,0.05
21,16,17,10,,0.05
22,7,18,10,,0.05
23,18,19,10,,0.05
24,19,20,10,,0.05
25,8,21,10,16.01913045,0.05
26,21,22,10,,0.05
27,22,23,10,,0.05
28,23,24,10,,0.05
29,6,25,10,,0.05
30,7,25,10,,0.05
31,11,25,10,,0.05
32,17,26,10,,0.05
1,1,2,11,,0.05
2,2,3,11,18.02646484,0.05
3,3,4,11,12.61953125,0.05
4,4,5,11,16.34484456,0.05
5,5,6,11,,0.05
6,6,7,11,,0.05
7,7,8,11,,0.05
8,8,1,11,,0.05
9,4,9,11,,0.05
10,5,9,11,,0.05
11,2,10,11,2.720661418,0.05
12,3,10,11,1.660860189,0.05
13,10,11,11,0.5,0.05
14,5,11,11,,0.05
15,6,11,11,,0.05
16,4,12,11,,0.05
17,12,13,11,,0.05
18,13,14,11,,0.05
19,14,15,11,,0.05
20,9,16,11,,0.05
21,16,17,11,,0.05
22,7,18,11,,0.05
23,18,19,11,,0.05
24,19,20,11,,0.05
25,8,21,11,,0.05
26,21,22,11,,0.05
27,22,23,11,,0.05
28,23,24,11,,0.05
29,6,25,11,,0.05
30,7,25,11,,0.05
31,11,25,11,,0.05
32,17,26,11,,0.05
1,1,2,12,11.39220276,0.05
2,2,3,12,2.419035339,0.05
3,3,4,12,,0.05
4,4,5,12,,0.05
5,5,6,12,,0.05
6,6,7,12,,0.05
7,7,8,12,,0.05
8,8,1,12,,0.05
9,4,9,12,,0.05
10,5,9,12,,0.05
11,2,10,12,0.5,0.05
12,3,10,12,,0.05
13,10,11,12,,0.05
14,5,11,12,,0.05
15,6,11,12,,0.05
16,4,12,12,,0.05
17,12,13,12,,0.05
18,13,14,12,,0.05
19,14,15,12,,0.05
20,9,16,12,,0.05
21,16,17,12,,0.05
22,7,18,12,,0.05
23,18,19,12,,0.05
24,19,20,12,,0.05
25,8,21,12,,0.05
26,21,22,12,,0.05
27,22,23,12,,0.05
28,23,24,12,,0.05
29,6,25,12,,0.05
30,7,25,12,,0.05
31,11,25,12,,0.05
32,17,26,12,,0.05
1,1,2,13,,0.05
2,2,3,13,,0.05
3,3,4,13,,0.05
4,4,5,13,,0.05
5,5,6,13,,0.05
6,6,7,13,,0.05
7,7,8,13,16.66644897,0.05
8,8,1,13,13.38853658,0.05
9,4,9,13,,0.05
10,5,9,13,,0.05
11,2,10,13,,0.05
12,3,10,13,,0.05
13,10,11,13,,0.05
14,5,11,13,,0.05
15,6,11,13,,0.05
16,4,12,13,,0.05
17,12,13,13,,0.05
18,13,14,13,,0.05
19,14,15,13,,0.05
20,9,16,13,,0.05
21,16,17,13,,0.05
22,7,18,13,,0.05
23,18,19,13,,0.05
24,19,20,13,,0.05
25,8,21,13,20.37035116,0.05
26,21,22,13,,0.05
27,22,23,13,,0.05
28,23,24,13,,0.05
29,6,25,13,,0.05
30,7,25,13,,0.05
31,11,25,13,,0.05
32,17,26,13,,0.05
1,1,2,14,6.432891846,0.05
2,2,3,14,11.51750387,0.05
3,3,4,14,,0.05
4,4,5,14,,0.05
5,5,6,14,,0.05
6,6,7,14,,0.05
7,7,8,14,,0.05
8,8,1,14,,0.05
9,4,9,14,,0.05
10,5,9,14,,0.05
11,2,10,14,9.25528158,0.05
12,3,10,14,,0.05
13,10,11,14,,0.05
14,5,11,14,,0.05
15,6,11,14,,0.05
16,4,12,14,,0.05
17,12,13,14,,0.05
18,13,14,14,,0.05
19,14,15,14,,0.05
20,9,16,14,,0.05
21,16,17,14,,0.05
22,7,18,14,,0.05
23,18,19,14,,0.05
24,19,20,14,,0.05
25,8,21,14,,0.05
26,21,22,14,,0.05
27,22,23,14,,0.05
28,23,24,14,,0.05
29,6,25,14,,0.05
30,7,25,14,,0.05
31,11,25,14,,0.05
32,17,26,14,,0.05
1,1,2,15,,0.05
2,2,3,15,,0.05
3,3,4,15,,0.05
4,4,5,15,16.1214152,0.05
5,5,6,15,13.9951416,0.05
6,6,7,15,,0.05
7,7,8,15,,0.05
8,8,1,15,,0.05
9,4,9,15,,0.05
10,5,9,15,,0.05
11,2,10,15,,0.05
12,3,10,15,,0.05
13,10,11,15,0.5,0.05
14,5,11,15,0.5,0.05
15,6,11,15,1.38718516,0.05
16,4,12,15,,0.05
17,12,13,15,,0.05
18,13,14,15,,0.05
19,14,15,15,,0.05
20,9,16,15,,0.05
21,16,17,15,,0.05
22,7,18,15,,0.05
23,18,19,15,,0.05
24,19,20,15,,0.05
25,8,21,15,,0.05
26,21,22,15,,0.05
27,22,23,15,,0.05
28,23,24,15,,0.05
29,6,25,15,,0.05
30,7,25,15,,0.05
31,11,25,15,1.214187113,0.05
32,17,26,15,,0.05
1,1,2,16,,0.05
2,2,3,16,,0.05
3,3,4,16,,0.05
4,4,5,16,1.231523641,0.05
5,5,6,16,,0.05
6,6,7,16,,0.05
7,7,8,16,,0.05
8,8,1,16,,0.05
9,4,9,16,,0.05
10,5,9,16,,0.05
11,2,10,16,20.37554728,0.05
12,3,10,16,20.37554728,0.05
13,10,11,16,0.5,0.05
14,5,11,16,7.84342041,0.05
15,6,11,16,8.945535278,0.05
16,4,12,16,,0.05
17,12,13,16,,0.05
18,13,14,16,,0.05
19,14,15,16,,0.05
20,9,16,16,,0.05
21,16,17,16,,0.05
22,7,18,16,,0.05
23,18,19,16,,0.05
24,19,20,16,,0.05
25,8,21,16,,0.05
26,21,22,16,,0.05
27,22,23,16,,0.05
28,23,24,16,,0.05
29,6,25,16,,0.05
