Levels,Nodes,CarNumbers
0,1,0.07629629629629629
0,2,0.024074074074074074
0,3,0.12585185185185185
0,4,0.28314814814814815
0,5,0.37496296296296294
0,6,0.10377777777777777
0,7,0.07722222222222222
0,8,0.05614814814814815
0,9,0.34833333333333333
0,10,3.7037037037037037e-05
0,11,0.01911111111111111
0,12,0.21222222222222223
0,13,0.13211111111111112
0,14,0.08733333333333333
0,15,0.0
0,16,0.028555555555555556
0,17,0.02440740740740741
0,18,0.04837037037037037
0,19,0.1655185185185185
0,20,0.0
0,21,0.031407407407407405
0,22,0.21455555555555555
0,23,0.18203703703703702
0,24,0.0
0,25,0.09574074074074074
0,26,0.0
1,1,0.07629629629629629
1,2,0.024074074074074074
1,3,0.12585185185185185
1,4,0.28314814814814815
1,5,0.37496296296296294
1,6,0.10377777777777777
1,7,0.07722222222222222
1,8,0.05614814814814815
1,9,0.34833333333333333
1,10,3.7037037037037037e-05
1,11,0.01911111111111111
1,12,0.21222222222222223
1,13,0.13211111111111112
1,14,0.08733333333333333
1,15,0.0
1,16,0.028555555555555556
1,17,0.02440740740740741
1,18,0.04837037037037037
1,19,0.1655185185185185
1,20,0.0
1,21,0.031407407407407405
1,22,0.21455555555555555
1,23,0.18203703703703702
1,24,0.0
1,25,0.09574074074074074
1,26,0.0
2,1,0.07629629629629629
2,2,0.024074074074074074
2,3,0.12585185185185185
2,4,0.28314814814814815
2,5,0.37496296296296294
2,6,0.10377777777777777
2,7,0.07722222222222222
2,8,0.05614814814814815
2,9,0.34833333333333333
2,10,3.7037037037037037e-05
2,11,0.01911111111111111
2,12,0.21222222222222223
2,13,0.13211111111111112
2,14,0.08733333333333333
2,15,0.0
2,16,0.028555555555555556
2,17,0.02440740740740741
2,18,0.04837037037037037
2,19,0.1655185185185185
2,20,0.0
2,21,0.031407407407407405
2,22,0.21455555555555555
2,23,0.18203703703703702
2,24,0.0
2,25,0.09574074074074074
2,26,0.0
3,1,0.07629629629629629
3,2,0.024074074074074074
3,3,0.12585185185185185
3,4,0.28314814814814815
3,5,0.37496296296296294
3,6,0.10377777777777777
3,7,0.07722222222222222
3,8,0.05614814814814815
3,9,0.34833333333333333
3,10,3.7037037037037037e-05
3,11,0.01911111111111111
3,12,0.21222222222222223
3,13,0.13211111111111112
3,14,0.08733333333333333
3,15,0.0
3,16,0.028555555555555556
3,17,0.02440740740740741
3,18,0.04837037037037037
3,19,0.1655185185185185
3,20,0.0
3,21,0.031407407407407405
3,22,0.21455555555555555
3,23,0.18203703703703702
3,24,0.0
3,25,0.09574074074074074
3,26,0.0
4,1,0.07629629629629629
4,2,0.024074074074074074
4,3,0.12585185185185185
4,4,0.28314814814814815
4,5,0.37496296296296294
4,6,0.10377777777777777
4,7,0.07722222222222222
4,8,0.05614814814814815
4,9,0.34833333333333333
4,10,3.7037037037037037e-05
4,11,0.01911111111111111
4,12,0.21222222222222223
4,13,0.13211111111111112
4,14,0.08733333333333333
4,15,0.0
4,16,0.028555555555555556
4,17,0.02440740740740741
4,18,0.04837037037037037
4,19,0.1655185185185185
4,20,0.0
4,21,0.031407407407407405
4,22,0.21455555555555555
4,23,0.18203703703703702
4,24,0.0
4,25,0.09574074074074074
4,26,0.0
5,1,0.07629629629629629
5,2,0.024074074074074074
5,3,0.12585185185185185
5,4,0.28314814814814815
5,5,0.37496296296296294
5,6,0.10377777777777777
5,7,0.07722222222222222
5,8,0.05614814814814815
5,9,0.34833333333333333
5,10,3.7037037037037037e-05
5,11,0.01911111111111111
5,12,0.21222222222222223
5,13,0.13211111111111112
5,14,0.08733333333333333
5,15,0.0
5,16,0.028555555555555556
5,17,0.02440740740740741
5,18,0.04837037037037037
5,19,0.1655185185185185
5,20,0.0
5,21,0.031407407407407405
5,22,0.21455555555555555
5,23,0.18203703703703702
5,24,0.0
5,25,0.09574074074074074
5,26,0.0
6,1,0.07629629629629629
6,2,0.024074074074074074
6,3,0.12585185185185185
6,4,0.28314814814814815
6,5,0.37496296296296294
6,6,0.10377777777777777
6,7,0.07722222222222222
6,8,0.05614814814814815
6,9,0.34833333333333333
6,10,3.7037037037037037e-05
6,11,0.01911111111111111
6,12,0.21222222222222223
6,13,0.13211111111111112
6,14,0.08733333333333333
6,15,0.0
6,16,0.028555555555555556
6,17,0.02440740740740741
6,18,0.04837037037037037
6,19,0.1655185185185185
6,20,0.0
6,21,0.031407407407407405
6,22,0.21455555555555555
6,23,0.18203703703703702
6,24,0.0
6,25,0.09574074074074074
6,26,0.0
7,1,0.07629629629629629
7,2,0.024074074074074074
7,3,0.12585185185185185
7,4,0.28314814814814815
7,5,0.37496296296296294
7,6,0.10377777777777777
7,7,0.07722222222222222
7,8,0.05614814814814815
7,9,0.34833333333333333
7,10,3.7037037037037037e-05
7,11,0.01911111111111111
7,12,0.21222222222222223
7,13,0.13211111111111112
7,14,0.08733333333333333
7,15,0.0
7,16,0.028555555555555556
7,17,0.02440740740740741
7,18,0.04837037037037037
7,19,0.1655185185185185
7,20,0.0
7,21,0.031407407407407405
7,22,0.21455555555555555
7,23,0.18203703703703702
7,24,0.0
7,25,0.09574074074074074
7,26,0.0
8,1,0.07629629629629629
8,2,0.024074074074074074
8,3,0.12585185185185185
8,4,0.28314814814814815
8,5,0.37496296296296294
8,6,0.10377777777777777
8,7,0.07722222222222222
8,8,0.05614814814814815
8,9,0.34833333333333333
8,10,3.7037037037037037e-05
8,11,0.01911111111111111
8,12,0.21222222222222223
8,13,0.13211111111111112
8,14,0.08733333333333333
8,15,0.0
8,16,0.028555555555555556
8,17,0.02440740740740741
8,18,0.04837037037037037
8,19,0.1655185185185185
8,20,0.0
8,21,0.031407407407407405
8,22,0.21455555555555555
8,23,0.18203703703703702
8,24,0.0
8,25,0.09574074074074074
8,26,0.0
9,1,0.07629629629629629
9,2,0.024074074074074074
9,3,0.12585185185185185
9,4,0.28314814814814815
9,5,0.37496296296296294
9,6,0.10377777777777777
9,7,0.07722222222222222
9,8,0.05614814814814815
9,9,0.34833333333333333
9,10,3.7037037037037037e-05
9,11,0.01911111111111111
9,12,0.21222222222222223
9,13,0.13211111111111112
9,14,0.08733333333333333
9,15,0.0
9,16,0.028555555555555556
9,17,0.02440740740740741
9,18,0.04837037037037037
9,19,0.1655185185185185
9,20,0.0
9,21,0.031407407407407405
9,22,0.21455555555555555
9,23,0.18203703703703702
9,24,0.0
9,25,0.09574074074074074
9,26,0.0
10,1,0.07629629629629629
10,2,0.024074074074074074
10,3,0.12585185185185185
10,4,0.28314814814814815
10,5,0.37496296296296294
10,6,0.10377777777777777
10,7,0.07722222222222222
10,8,0.05614814814814815
10,9,0.34833333333333333
10,10,3.7037037037037037e-05
10,11,0.01911111111111111
10,12,0.21222222222222223
10,13,0.13211111111111112
10,14,0.08733333333333333
10,15,0.0
10,16,0.028555555555555556
10,17,0.02440740740740741
10,18,0.04837037037037037
10,19,0.1655185185185185
10,20,0.0
10,21,0.031407407407407405
10,22,0.21455555555555555
10,23,0.18203703703703702
10,24,0.0
10,25,0.09574074074074074
10,26,0.0
11,1,0.07629629629629629
11,2,0.024074074074074074
11,3,0.12585185185185185
11,4,0.28314814814814815
11,5,0.37496296296296294
11,6,0.10377777777777777
11,7,0.07722222222222222
11,8,0.05614814814814815
11,9,0.34833333333333333
11,10,3.7037037037037037e-05
11,11,0.01911111111111111
11,12,0.21222222222222223
11,13,0.13211111111111112
11,14,0.08733333333333333
11,15,0.0
11,16,0.028555555555555556
11,17,0.02440740740740741
11,18,0.04837037037037037
11,19,0.1655185185185185
11,20,0.0
11,21,0.031407407407407405
11,22,0.21455555555555555
11,23,0.18203703703703702
11,24,0.0
11,25,0.09574074074074074
11,26,0.0
12,1,0.07629629629629629
12,2,0.024074074074074074
12,3,0.12585185185185185
12,4,0.28314814814814815
12,5,0.37496296296296294
12,6,0.10377777777777777
12,7,0.07722222222222222
12,8,0.05614814814814815
12,9,0.34833333333333333
12,10,3.7037037037037037e-05
12,11,0.01911111111111111
12,12,0.21222222222222223
12,13,0.13211111111111112
12,14,0.08733333333333333
12,15,0.0
12,16,0.028555555555555556
12,17,0.02440740740740741
12,18,0.04837037037037037
12,19,0.1655185185185185
12,20,0.0
12,21,0.031407407407407405
