Levels,Nodes,CarNumbers
0,1,0.038867924528301886
0,2,0.012264150943396227
0,3,0.06411320754716981
0,4,0.14424528301886794
0,5,0.1910188679245283
0,6,0.052867924528301885
0,7,0.039339622641509434
0,8,0.02860377358490566
0,9,0.17745283018867924
0,10,1.8867924528301888e-05
0,11,0.009735849056603773
0,12,0.10811320754716981
0,13,0.06730188679245283
0,14,0.04449056603773585
0,15,0.0
0,16,0.014547169811320754
0,17,0.012433962264150944
0,18,0.024641509433962264
0,19,0.08432075471698114
0,20,0.0
0,21,0.016
0,22,0.10930188679245283
0,23,0.09273584905660377
0,24,0.0
0,25,0.048773584905660375
0,26,0.0
1,1,0.038867924528301886
1,2,0.012264150943396227
1,3,0.06411320754716981
1,4,0.14424528301886794
1,5,0.1910188679245283
1,6,0.052867924528301885
1,7,0.039339622641509434
1,8,0.02860377358490566
1,9,0.17745283018867924
1,10,1.8867924528301888e-05
1,11,0.009735849056603773
1,12,0.10811320754716981
1,13,0.06730188679245283
1,14,0.04449056603773585
1,15,0.0
1,16,0.014547169811320754
1,17,0.012433962264150944
1,18,0.024641509433962264
1,19,0.08432075471698114
1,20,0.0
1,21,0.016
1,22,0.10930188679245283
1,23,0.09273584905660377
1,24,0.0
1,25,0.048773584905660375
1,26,0.0
2,1,0.038867924528301886
2,2,0.012264150943396227
2,3,0.06411320754716981
2,4,0.14424528301886794
2,5,0.1910188679245283
2,6,0.052867924528301885
2,7,0.039339622641509434
2,8,0.02860377358490566
2,9,0.17745283018867924
2,10,1.8867924528301888e-05
2,11,0.009735849056603773
2,12,0.10811320754716981
2,13,0.06730188679245283
2,14,0.04449056603773585
2,15,0.0
2,16,0.014547169811320754
2,17,0.012433962264150944
2,18,0.024641509433962264
2,19,0.08432075471698114
2,20,0.0
2,21,0.016
2,22,0.10930188679245283
2,23,0.09273584905660377
2,24,0.0
2,25,0.048773584905660375
2,26,0.0
3,1,0.038867924528301886
3,2,0.012264150943396227
3,3,0.06411320754716981
3,4,0.14424528301886794
3,5,0.1910188679245283
3,6,0.052867924528301885
3,7,0.039339622641509434
3,8,0.02860377358490566
3,9,0.17745283018867924
3,10,1.8867924528301888e-05
3,11,0.009735849056603773
3,12,0.10811320754716981
3,13,0.06730188679245283
3,14,0.04449056603773585
3,15,0.0
3,16,0.014547169811320754
3,17,0.012433962264150944
3,18,0.024641509433962264
3,19,0.08432075471698114
3,20,0.0
3,21,0.016
3,22,0.10930188679245283
3,23,0.09273584905660377
3,24,0.0
3,25,0.048773584905660375
3,26,0.0
4,1,0.038867924528301886
4,2,0.012264150943396227
4,3,0.06411320754716981
4,4,0.14424528301886794
4,5,0.1910188679245283
4,6,0.052867924528301885
4,7,0.039339622641509434
4,8,0.02860377358490566
4,9,0.17745283018867924
4,10,1.8867924528301888e-05
4,11,0.009735849056603773
4,12,0.10811320754716981
4,13,0.06730188679245283
4,14,0.04449056603773585
4,15,0.0
4,16,0.014547169811320754
4,17,0.012433962264150944
4,18,0.024641509433962264
4,19,0.08432075471698114
4,20,0.0
4,21,0.016
4,22,0.10930188679245283
4,23,0.09273584905660377
4,24,0.0
4,25,0.048773584905660375
4,26,0.0
5,1,0.038867924528301886
5,2,0.012264150943396227
5,3,0.06411320754716981
5,4,0.14424528301886794
5,5,0.1910188679245283
5,6,0.052867924528301885
5,7,0.039339622641509434
5,8,0.02860377358490566
5,9,0.17745283018867924
5,10,1.8867924528301888e-05
5,11,0.009735849056603773
5,12,0.10811320754716981
5,13,0.06730188679245283
5,14,0.04449056603773585
5,15,0.0
5,16,0.014547169811320754
5,17,0.012433962264150944
5,18,0.024641509433962264
5,19,0.08432075471698114
5,20,0.0
5,21,0.016
5,22,0.10930188679245283
5,23,0.09273584905660377
5,24,0.0
5,25,0.048773584905660375
5,26,0.0
6,1,0.038867924528301886
6,2,0.012264150943396227
6,3,0.06411320754716981
6,4,0.14424528301886794
6,5,0.1910188679245283
6,6,0.052867924528301885
6,7,0.039339622641509434
6,8,0.02860377358490566
6,9,0.17745283018867924
6,10,1.8867924528301888e-05
6,11,0.009735849056603773
6,12,0.10811320754716981
6,13,0.06730188679245283
6,14,0.04449056603773585
6,15,0.0
6,16,0.014547169811320754
6,17,0.012433962264150944
6,18,0.024641509433962264
6,19,0.08432075471698114
6,20,0.0
6,21,0.016
6,22,0.10930188679245283
6,23,0.09273584905660377
6,24,0.0
