Levels,Nodes,CarNumbers
0,1,0.1358074074074074
0,2,0.04285185185185185
0,3,0.2240162962962963
0,4,0.5040037037037037
0,5,0.6674340740740741
0,6,0.18472444444444444
0,7,0.13745555555555555
0,8,0.0999437037037037
0,9,0.6200333333333333
0,10,6.592592592592593e-05
0,11,0.03401777777777778
0,12,0.37775555555555557
0,13,0.2351577777777778
0,14,0.15545333333333333
0,15,0.0
0,16,0.05082888888888889
0,17,0.04344518518518519
0,18,0.08609925925925926
0,19,0.294622962962963
0,20,0.0
0,21,0.05590518518518518
0,22,0.3819088888888889
0,23,0.3240259259259259
0,24,0.0
0,25,0.17041851851851852
0,26,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
2,1,0.1312296296296296
2,2,0.04140740740740741
2,3,0.21646518518518518
2,4,0.4870148148148148
2,5,0.6449362962962962
2,6,0.17849777777777778
2,7,0.1328222222222222
2,8,0.09657481481481481
2,9,0.5991333333333333
2,10,6.37037037037037e-05
2,11,0.03287111111111111
2,12,0.36502222222222225
2,13,0.22723111111111113
2,14,0.15021333333333334
2,15,0.0
2,16,0.04911555555555556
2,17,0.04198074074074074
2,18,0.08319703703703703
2,19,0.2846918518518518
2,20,0.0
2,21,0.05402074074074074
2,22,0.36903555555555556
2,23,0.31310370370370366
2,24,0.0
2,25,0.16467407407407406
2,26,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
4,1,0.12665185185185185
4,2,0.039962962962962964
4,3,0.20891407407407409
4,4,0.47002592592592596
4,5,0.6224385185185185
4,6,0.17227111111111112
4,7,0.1281888888888889
4,8,0.09320592592592593
4,9,0.5782333333333334
4,10,6.148148148148149e-05
4,11,0.031724444444444444
4,12,0.35228888888888893
4,13,0.2193044444444445
4,14,0.14497333333333334
4,15,0.0
4,16,0.04740222222222223
4,17,0.0405162962962963
4,18,0.08029481481481482
4,19,0.27476074074074075
4,20,0.0
4,21,0.0521362962962963
4,22,0.35616222222222227
4,23,0.3021814814814815
4,24,0.0
4,25,0.15892962962962964
4,26,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
6,1,0.12207407407407407
6,2,0.03851851851851852
6,3,0.20136296296296297
6,4,0.45303703703703707
6,5,0.5999407407407408
6,6,0.16604444444444444
6,7,0.12355555555555556
6,8,0.08983703703703705
6,9,0.5573333333333333
6,10,5.925925925925926e-05
6,11,0.030577777777777777
6,12,0.3395555555555556
6,13,0.2113777777777778
6,14,0.13973333333333335
6,15,0.0
6,16,0.04568888888888889
6,17,0.03905185185185186
6,18,0.0773925925925926
6,19,0.26482962962962964
6,20,0.0
6,21,0.05025185185185185
6,22,0.3432888888888889
6,23,0.2912592592592593
6,24,0.0
6,25,0.1531851851851852
6,26,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,0.0
7,26,0.0
8,1,0.1174962962962963
8,2,0.03707407407407407
8,3,0.19381185185185185
8,4,0.4360481481481482
8,5,0.5774429629629629
8,6,0.15981777777777778
8,7,0.11892222222222222
8,8,0.08646814814814816
8,9,0.5364333333333333
8,10,5.7037037037037035e-05
8,11,0.02943111111111111
8,12,0.32682222222222224
8,13,0.20345111111111114
8,14,0.13449333333333333
8,15,0.0
8,16,0.04397555555555556
8,17,0.03758740740740741
8,18,0.07449037037037037
8,19,0.2548985185185185
8,20,0.0
8,21,0.04836740740740741
8,22,0.3304155555555556
8,23,0.28033703703703705
8,24,0.0
8,25,0.14744074074074073
8,26,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
10,1,0.11291851851851852
10,2,0.03562962962962963
10,3,0.18626074074074075
10,4,0.41905925925925924
10,5,0.5549451851851851
10,6,0.1535911111111111
10,7,0.11428888888888888
10,8,0.08309925925925926
10,9,0.5155333333333333
10,10,5.4814814814814817e-05
10,11,0.028284444444444442
10,12,0.3140888888888889
10,13,0.19552444444444447
10,14,0.12925333333333333
10,15,0.0
10,16,0.04226222222222222
10,17,0.03612296296296297
10,18,0.07158814814814815
10,19,0.24496740740740738
10,20,0.0
10,21,0.046482962962962955
10,22,0.3175422222222222
10,23,0.2694148148148148
10,24,0.0
10,25,0.1416962962962963
10,26,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
11,9,0.0
11,10,0.0
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,0.0
11,24,0.0
11,25,0.0
11,26,0.0
12,1,0.10834074074074072
12,2,0.034185185185185187
12,3,0.17870962962962963
12,4,0.40207037037037036
12,5,0.5324474074074074
12,6,0.14736444444444444
12,7,0.10965555555555555
12,8,0.07973037037037037
12,9,0.4946333333333333
12,10,5.259259259259259e-05
12,11,0.027137777777777775
12,12,0.30135555555555554
12,13,0.18759777777777778
12,14,0.12401333333333332
12,15,0.0
12,16,0.04054888888888889
12,17,0.03465851851851852
12,18,0.06868592592592591
12,19,0.23503629629629627
12,20,0.0
12,21,0.04459851851851851
12,22,0.3046688888888889
12,23,0.25849259259259255
12,24,0.0
12,25,0.13595185185185185
12,26,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.0
13,8,0.0
13,9,0.0
13,10,0.0
13,11,0.0
13,12,0.0
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
13,20,0.0
13,21,0.0
13,22,0.0
13,23,0.0
13,24,0.0
13,25,0.0
13,26,0.0
14,1,0.10376296296296295
14,2,0.03274074074074074
14,3,0.17115851851851852
14,4,0.38508148148148147
14,5,0.5099496296296295
14,6,0.14113777777777775
14,7,0.10502222222222221
14,8,0.07636148148148147
14,9,0.4737333333333333
14,10,5.0370370370370366e-05
14,11,0.025991111111111107
14,12,0.2886222222222222
14,13,0.17967111111111111
14,14,0.11877333333333331
14,15,0.0
14,16,0.038835555555555554
14,17,0.03319407407407407
14,18,0.06578370370370369
14,19,0.22510518518518516
14,20,0.0
14,21,0.042714074074074064
14,22,0.29179555555555553
14,23,0.24757037037037033
14,24,0.0
14,25,0.13020740740740738
14,26,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.0
15,9,0.0
15,10,0.0
15,11,0.0
15,12,0.0
15,13,0.0
15,14,0.0
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
15,20,0.0
15,21,0.0
15,22,0.0
15,23,0.0
15,24,0.0
15,25,0.0
15,26,0.0
16,1,0.09918518518518518
16,2,0.031296296296296294
16,3,0.16360740740740742
16,4,0.3680925925925926
16,5,0.48745185185185186
16,6,0.13491111111111112
16,7,0.10038888888888889
16,8,0.0729925925925926
16,9,0.45283333333333337
16,10,4.814814814814815e-05
16,11,0.024844444444444443
16,12,0.2758888888888889
16,13,0.17174444444444448
16,14,0.11353333333333333
16,15,0.0
16,16,0.03712222222222222
16,17,0.031729629629629635
16,18,0.06288148148148148
16,19,0.21517407407407407
16,20,0.0
16,21,0.040829629629629625
16,22,0.27892222222222224
16,23,0.23664814814814814
16,24,0.0
16,25,0.12446296296296297
16,26,0.0
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.0
17,9,0.0
17,10,0.0
17,11,0.0
17,12,0.0
17,13,0.0
17,14,0.0
17,15,0.0
17,16,0.0
17,17,0.0
17,18,0.0
17,19,0.0
17,20,0.0
17,21,0.0
17,22,0.0
17,23,0.0
17,24,0.0
17,25,0.0
17,26,0.0
18,1,0.0946074074074074
18,2,0.02985185185185185
18,3,0.1560562962962963
18,4,0.3511037037037037
18,5,0.464954074074074
18,6,0.12868444444444443
18,7,0.09575555555555555
18,8,0.0696237037037037
18,9,0.43193333333333334
18,10,4.592592592592592e-05
18,11,0.023697777777777776
18,12,0.2631555555555556
18,13,0.16381777777777778
18,14,0.10829333333333332
18,15,0.0
18,16,0.03540888888888889
18,17,0.030265185185185187
18,18,0.05997925925925926
18,19,0.20524296296296296
18,20,0.0
18,21,0.03894518518518518
18,22,0.2660488888888889
18,23,0.2257259259259259
18,24,0.0
18,25,0.11871851851851851
18,26,0.0
19,1,0.0
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.0
19,7,0.0
19,8,0.0
19,9,0.0
19,10,0.0
19,11,0.0
19,12,0.0
19,13,0.0
19,14,0.0
19,15,0.0
19,16,0.0
19,17,0.0
19,18,0.0
19,19,0.0
19,20,0.0
19,21,0.0
19,22,0.0
19,23,0.0
19,24,0.0
19,25,0.0
19,26,0.0
20,1,0.09002962962962963
20,2,0.028407407407407406
20,3,0.14850518518518518
20,4,0.3341148148148148
20,5,0.44245629629629624
20,6,0.12245777777777776
20,7,0.09112222222222222
20,8,0.06625481481481481
20,9,0.4110333333333333
20,10,4.37037037037037e-05
20,11,0.02255111111111111
20,12,0.2504222222222222
20,13,0.15589111111111112
20,14,0.10305333333333333
20,15,0.0
20,16,0.033695555555555555
20,17,0.02880074074074074
20,18,0.05707703703703703
20,19,0.19531185185185182
20,20,0.0
20,21,0.037060740740740734
20,22,0.25317555555555554
20,23,0.2148037037037037
20,24,0.0
20,25,0.11297407407407406
20,26,0.0
21,1,0.0
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
21,12,0.0
21,13,0.0
21,14,0.0
21,15,0.0
21,16,0.0
21,17,0.0
21,18,0.0
21,19,0.0
21,20,0.0
21,21,0.0
21,22,0.0
21,23,0.0
21,24,0.0
21,25,0.0
21,26,0.0
22,1,0.08545185185185186
22,2,0.026962962962962966
22,3,0.1409540740740741
22,4,0.317125925925926
22,5,0.4199585185185185
22,6,0.11623111111111112
22,7,0.08648888888888889
22,8,0.06288592592592593
22,9,0.3901333333333334
22,10,4.148148148148149e-05
22,11,0.021404444444444445
22,12,0.23768888888888892
22,13,0.14796444444444448
22,14,0.09781333333333334
22,15,0.0
22,16,0.031982222222222224
22,17,0.0273362962962963
22,18,0.05417481481481482
22,19,0.18538074074074073
22,20,0.0
22,21,0.035176296296296296
22,22,0.24030222222222225
22,23,0.2038814814814815
22,24,0.0
22,25,0.10722962962962963
22,26,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
23,12,0.0
23,13,0.0
23,14,0.0
23,15,0.0
23,16,0.0
23,17,0.0
23,18,0.0
23,19,0.0
23,20,0.0
23,21,0.0
23,22,0.0
23,23,0.0
23,24,0.0
23,25,0.0
23,26,0.0
24,1,0.08087407407407407
24,2,0.02551851851851852
24,3,0.13340296296296297
24,4,0.30013703703703704
24,5,0.3974607407407407
24,6,0.11000444444444445
24,7,0.08185555555555556
24,8,0.05951703703703704
24,9,0.36923333333333336
24,10,3.925925925925926e-05
24,11,0.020257777777777777
24,12,0.22495555555555558
24,13,0.1400377777777778
24,14,0.09257333333333334
24,15,0.0
24,16,0.03026888888888889
24,17,0.025871851851851854
24,18,0.05127259259259259
24,19,0.17544962962962962
24,20,0.0
24,21,0.03329185185185185
24,22,0.2274288888888889
24,23,0.19295925925925925
24,24,0.0
24,25,0.10148518518518519
24,26,0.0
25,1,0.0
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
25,7,0.0
25,8,0.0
25,9,0.0
25,10,0.0
25,11,0.0
25,12,0.0
25,13,0.0
25,14,0.0
25,15,0.0
25,16,0.0
25,17,0.0
25,18,0.0
25,19,0.0
25,20,0.0
25,21,0.0
25,22,0.0
25,23,0.0
25,24,0.0
25,25,0.0
25,26,0.0
26,1,0.07629629629629629
26,2,0.024074074074074074
26,3,0.12585185185185185
26,4,0.28314814814814815
26,5,0.37496296296296294
26,6,0.10377777777777777
26,7,0.07722222222222222
26,8,0.05614814814814815
26,9,0.34833333333333333
26,10,3.7037037037037037e-05
26,11,0.01911111111111111
26,12,0.21222222222222223
26,13,0.13211111111111112
26,14,0.08733333333333333
26,15,0.0
26,16,0.028555555555555556
26,17,0.02440740740740741
26,18,0.04837037037037037
26,19,0.1655185185185185
26,20,0.0
26,21,0.031407407407407405
26,22,0.21455555555555555
26,23,0.18203703703703702
26,24,0.0
26,25,0.09574074074074074
26,26,0.0
27,1,0.0
27,2,0.0
27,3,0.0
27,4,0.0
27,5,0.0
27,6,0.0
27,7,0.0
27,8,0.0
27,9,0.0
27,10,0.0
27,11,0.0
27,12,0.0
27,13,0.0
27,14,0.0
27,15,0.0
27,16,0.0
27,17,0.0
27,18,0.0
27,19,0.0
27,20,0.0
27,21,0.0
27,22,0.0
27,23,0.0
27,24,0.0
27,25,0.0
27,26,0.0
28,1,0.07171851851851851
28,2,0.022629629629629628
28,3,0.11830074074074073
28,4,0.26615925925925926
28,5,0.35246518518518516
28,6,0.0975511111111111
28,7,0.07258888888888888
28,8,0.052779259259259255
28,9,0.3274333333333333
28,10,3.481481481481481e-05
28,11,0.017964444444444443
28,12,0.19948888888888888
28,13,0.12418444444444444
28,14,0.08209333333333332
28,15,0.0
28,16,0.026842222222222222
28,17,0.022942962962962964
28,18,0.045468148148148146
28,19,0.1555874074074074
28,20,0.0
28,21,0.02952296296296296
28,22,0.2016822222222222
28,23,0.1711148148148148
28,24,0.0
28,25,0.08999629629629628
28,26,0.0
29,1,0.0
29,2,0.0
29,3,0.0
29,4,0.0
29,5,0.0
29,6,0.0
29,7,0.0
29,8,0.0
29,9,0.0
29,10,0.0
29,11,0.0
29,12,0.0
29,13,0.0
29,14,0.0
29,15,0.0
29,16,0.0
29,17,0.0
29,18,0.0
29,19,0.0
29,20,0.0
29,21,0.0
29,22,0.0
29,23,0.0
29,24,0.0
29,25,0.0
29,26,0.0
30,1,0.06714074074074074
30,2,0.021185185185185185
30,3,0.11074962962962963
30,4,0.24917037037037038
30,5,0.3299674074074074
30,6,0.09132444444444444
30,7,0.06795555555555556
30,8,0.04941037037037037
30,9,0.3065333333333333
30,10,3.259259259259259e-05
30,11,0.016817777777777775
30,12,0.18675555555555556
30,13,0.1162577777777778
30,14,0.07685333333333333
30,15,0.0
30,16,0.025128888888888888
30,17,0.02147851851851852
30,18,0.042565925925925924
30,19,0.14565629629629628
30,20,0.0
30,21,0.027638518518518517
30,22,0.1888088888888889
30,23,0.16019259259259258
30,24,0.0
30,25,0.08425185185185186
30,26,0.0
31,1,0.0
31,2,0.0
31,3,0.0
31,4,0.0
31,5,0.0
31,6,0.0
31,7,0.0
31,8,0.0
31,9,0.0
31,10,0.0
31,11,0.0
31,12,0.0
31,13,0.0
31,14,0.0
31,15,0.0
31,16,0.0
31,17,0.0
31,18,0.0
31,19,0.0
31,20,0.0
31,21,0.0
31,22,0.0
31,23,0.0
31,24,0.0
31,25,0.0
31,26,0.0
32,1,0.06256296296296296
32,2,0.019740740740740743
32,3,0.10319851851851852
32,4,0.2321814814814815
32,5,0.30746962962962965
32,6,0.08509777777777779
32,7,0.06332222222222222
32,8,0.04604148148148148
32,9,0.28563333333333335
32,10,3.037037037037037e-05
32,11,0.01567111111111111
32,12,0.17402222222222224
32,13,0.10833111111111113
32,14,0.07161333333333333
32,15,0.0
32,16,0.023415555555555558
32,17,0.020014074074074076
32,18,0.03966370370370371
32,19,0.1357251851851852
32,20,0.0
32,21,0.025754074074074075
32,22,0.17593555555555557
32,23,0.14927037037037036
32,24,0.0
32,25,0.07850740740740741
32,26,0.0
33,1,0.0
33,2,0.0
33,3,0.0
33,4,0.0
33,5,0.0
33,6,0.0
33,7,0.0
33,8,0.0
33,9,0.0
33,10,0.0
33,11,0.0
33,12,0.0
33,13,0.0
33,14,0.0
33,15,0.0
33,16,0.0
33,17,0.0
33,18,0.0
33,19,0.0
33,20,0.0
33,21,0.0
33,22,0.0
33,23,0.0
33,24,0.0
33,25,0.0
33,26,0.0
34,1,0.05798518518518518
34,2,0.018296296296296297
34,3,0.0956474074074074
34,4,0.2151925925925926
34,5,0.28497185185185187
34,6,0.07887111111111111
